Date,Cocoa,Coffee,Cotton,Sugar,Oats,Rough Rice,Soybeans,Kansas Wheat,Copper,Gold,Palladium,Platinum,Silver,Natural Gas,Feeder Cattle,Lean Hogs,Live Cattle
2018-01-02,1936,130.1999969,77.5,15.32999992,242.5,1153.5,955.0,434.75,3.256000042,1313.699951,1090.0,943.7999878,17.12100029,3.055999994,149.5249939,70.72499847,123.3499985
2018-01-03,1907,128.6000061,78.11000061,15.31000042,244.5,1141.0,959.75,441.0,3.236999989,1316.199951,1086.0,957.7999878,17.18499947,3.007999897,149.375,71.05000305,122.9499969
2018-01-04,1905,129.5500031,79.25,15.25,245.75,1147.5,959.25,439.75,3.242500067,1319.400024,1097.400024,966.0999756,17.18899918,2.880000114,149.0249939,71.375,122.25
2018-01-05,1895,128.4499969,78.01000214,15.07999992,248.5,1156.5,961.5,437.5,3.207000017,1320.300049,1084.849976,971.2000122,17.20499992,2.795000076,146.625,71.42500305,119.25
2018-01-08,1914,125.1500015,78.13999939,14.77999973,250.0,1164.5,958.25,433.25,3.200999975,1318.599976,1098.550049,972.2999878,17.06399918,2.835000038,146.4499969,72.97499847,117.2249985
2018-01-09,1899,125.1500015,78.34999847,14.72999954,249.0,1171.0,955.75,439.0,3.194499969,1311.699951,1100.800049,967.9000244,16.93600082,2.923000097,145.4750061,73.17500305,117.6750031
2018-01-10,1941,123.9499969,79.65000153,14.64999962,251.0,1169.5,947.0,440.5,3.214999914,1317.400024,1080.050049,974.4000244,16.96299934,2.905999899,144.375,72.52500153,116.875
2018-01-11,1928,122.8000031,82.65000153,14.18000031,250.5,1152.0,940.5,440.25,3.213500023,1320.599976,1078.900024,986.9000244,16.8939991,3.084000111,143.8249969,70.97499847,117.0749969
2018-01-12,1914,122.25,81.68000031,14.18000031,249.5,1158.0,944.0,426.25,3.200000048,1333.400024,1108.0,991.2000122,17.06900024,3.200000048,144.3500061,71.57499695,117.375
2018-01-16,1932,120.4499969,81.43000031,13.59000015,250.0,1214.5,968.0,422.0,3.198999882,1335.400024,1090.800049,1000.200012,17.12199974,3.128999949,145.6000061,73.90000153,118.0999985
2018-01-17,1985,123.0999985,82.13999939,13.42000008,254.25,1215.0,968.75,427.0,3.166500092,1338.0,1112.349976,1006.200012,17.10499954,3.232000113,147.875,72.72499847,120.9749985
2018-01-18,1984,121.0999985,82.62999725,13.07999992,259.75,1214.5,973.0,429.5,3.177000046,1326.0,1095.949951,1005.0,16.89299965,3.188999891,149.1750031,73.05000305,121.9499969
2018-01-19,1931,121.25,83.41999817,13.25,258.0,1220.5,977.25,427.5,3.167000055,1331.900024,1101.050049,1016.200012,16.97500038,3.1849999430000002,147.9499969,72.07499695,121.9000015
2018-01-22,1938,122.5500031,83.41000366,13.17000008,265.0,1218.0,984.25,428.5,3.17750001,1330.900024,1094.949951,994.2999878,16.93099976,3.223999977,147.8999939,71.80000305,123.5500031
2018-01-23,1929,120.9499969,82.26000214,13.18999958,270.0,1220.0,986.25,423.25,3.08949995,1335.699951,1086.900024,1005.299988,16.85499954,3.444000006,148.625,72.25,124.7249985
2018-01-24,1955,122.5,82.26999664,13.15999985,275.5,1216.5,992.25,433.0,3.208499908,1355.900024,1109.0,1013.299988,17.42499924,3.509000063,148.1499939,72.92500305,125.4250031
2018-01-25,1960,123.6500015,81.87999725,13.23999977,261.0,1214.0,992.25,435.0,3.198999882,1362.400024,1100.050049,1029.300049,17.5510006,3.447000027,147.8500061,72.47499847,122.4749985
2018-01-26,1986,125.1500015,80.48000336,13.35999966,266.0,1233.5,985.5,443.0,3.182499886,1351.599976,1087.699951,1015.0,17.38199997,3.505000114,146.7250061,72.27500153,124.5999985
2018-01-30,1970,122.3000031,77.02999878,13.72000027,270.0,1241.0,1000.25,469.75,3.177000046,1335.400024,1056.400024,997.4000244,17.01300049,3.194999933,147.1750031,72.44999695,124.8249969
2018-01-31,1996,121.8499985,77.27999878,13.22999954,265.5,1244.0,995.75,467.25,3.184000015,1339.0,1027.5,1001.299988,17.20400047,2.994999886,145.0500031,73.22499847,123.8499985
2018-02-01,2017,121.4000015,78.34999847,13.36999989,267.25,1240.5,985.0,467.0,3.197000027,1344.300049,1028.650024,1004.799988,17.11800003,2.855999947,149.5500031,74.82499695,126.4250031
2018-02-02,2059,120.4000015,77.30000305,13.63000011,267.5,1246.0,978.75,463.25,3.176500082,1333.699951,1048.900024,996.4000244,16.6760006,2.845999956,150.9250031,75.19999695,126.8499985
2018-02-05,2045,119.8000031,76.56999969,13.89999962,267.25,1253.0,969.75,461.75,3.210500002,1333.0,1036.900024,992.5,16.63899994,2.746999979,149.6750031,75.82499695,126.125
2018-02-06,2041,122.8499985,76.19000244,13.84000015,269.0,1255.0,986.25,469.0,3.17750001,1326.099976,1006.450012,991.2999878,16.54800034,2.759000063,148.7250061,74.75,125.625
2018-02-07,2013,123.3000031,75.95999908,14.0,273.25,1250.0,983.0,481.0,3.076499939,1311.599976,988.5,978.7000122,16.20599937,2.701999903,148.3000031,73.84999847,125.5999985
2018-02-08,2034,122.8499985,76.62000275,13.57999992,269.5,1244.5,987.75,474.5,3.072000027,1316.900024,966.1500244,975.4000244,16.31399918,2.697000027,147.25,73.40000153,125.7750015
2018-02-09,2031,121.8499985,76.68000031,13.67000008,266.5,1232.5,983.0,465.5,3.024499893,1313.099976,967.2999878,958.5,16.11599922,2.584000111,146.1999969,73.17500305,126.5250015
2018-02-12,1970,121.4000015,76.44999695,13.72999954,275.0,1239.0,1001.75,477.5,3.077500105,1324.199951,980.0999756,969.7999878,16.54800034,2.552000046,147.6750031,73.07499695,127.125
2018-02-13,1999,122.75,76.37999725,13.47999954,273.5,1228.5,1011.75,474.5,3.154500008,1328.099976,984.6500244,972.7000122,16.50699997,2.594000101,147.2749939,73.34999847,126.8249969
2018-02-14,2055,122.8000031,75.59999847,13.39999962,265.75,1225.0,1017.25,469.75,3.228499889,1355.5,1001.25,996.0999756,16.8579998,2.586999893,148.1750031,73.5,127.6500015
2018-02-15,2137,121.75,75.41000366,13.61999989,268.5,1195.0,1024.25,478.0,3.239000082,1352.099976,1010.599976,998.0999756,16.77700043,2.579999924,149.8249969,69.72499847,129.2749939
